Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum,Max transmission of Ref. spec. (dB),Rsq of IV,I at -2V,I at -1V,I at 1V
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 08:51:01 2019,process LMZ,B2,magdzi83,0,0,0,No Error,1310.0,0.9986124032462899,-5.932845592498779,0.9999999999341733,1.332839e-07,7.203803e-08,-0.006919174
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 10:58:49 2019,process LMZ,B2,magdzi83,0,2,0,No Error,1310.0,0.9992475858638986,-5.264725685119629,0.9999999999830564,6.379297e-08,3.444476e-08,-0.006729574
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 10:26:52 2019,process LMZ,B2,magdzi83,2,-1,0,No Error,1310.0,0.9973926345016038,-5.795566558837891,0.9999999999805235,6.58043e-08,3.536833e-08,-0.00634805
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 13:38:20 2019,process LMZ,B2,magdzi83,2,-3,0,No Error,1310.0,0.9992849413698114,-6.687650680541992,0.9999999999391659,1.179658e-07,6.346043e-08,-0.006409498
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 14:42:14 2019,process LMZ,B2,magdzi83,2,2,0,No Error,1310.0,0.9992171588490939,-5.631180286407471,0.9999999999760649,7.353776e-08,3.94475e-08,-0.006442896
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Sun May 26 14:10:16 2019,process LMZ,B2,magdzi83,3,0,0,No Error,1310.0,0.9989658717883338,-6.205716133117676,0.9999999999542561,9.644148e-08,5.300257e-08,-0.006356055
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:00:04 2019,process LMZ,B2,magdzi83,-1,-1,0,No Error,1550.0,0.9965326437162685,-8.539968030485614,0.999999999999995,6.893766e-11,-1.080882e-12,-0.005356431
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:01:36 2019,process LMZ,B2,magdzi83,-1,-3,0,No Error,1550.0,0.9967692595957002,-9.390164819645799,0.9999999999999895,1.769285e-09,4.894235e-10,-0.004992432
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:18:58 2019,process LMZ,B2,magdzi83,-1,3,0,No Error,1550.0,0.9965824288443011,-10.157980198195402,0.9999999999999939,1.101309e-09,2.689357e-10,-0.005288172
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:10:19 2019,process LMZ,B2,magdzi83,-3,-3,0,No Error,1550.0,0.995235819849923,-8.712100265202714,0.9999999999999801,1.657994e-09,5.6015e-10,-0.004806489
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:06:48 2019,process LMZ,B2,magdzi83,-3,0,0,No Error,1550.0,0.9967444978078804,-9.156891162372446,0.9999999999999917,1.127307e-09,2.785752e-10,-0.005238293
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:20:31 2019,process LMZ,B2,magdzi83,-3,2,0,No Error,1550.0,0.9959682166917442,-10.198469947838152,0.9999999999999333,3.803351e-09,1.991348e-09,-0.00534096
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:08:19 2019,process LMZ,B2,magdzi83,-4,-1,0,No Error,1550.0,0.9949074166025428,-9.085786221230677,0.9999999999998375,4.770344e-09,2.718284e-09,-0.005056953
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:12:02 2019,process LMZ,B2,magdzi83,0,-4,0,No Error,1550.0,0.9955334905954348,-10.246547374086258,0.9999999999998793,3.970598e-09,2.07831e-09,-0.004971176
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 11:58:33 2019,process LMZ,B2,magdzi83,0,0,0,No Error,1550.0,0.9975680122279209,-9.352558936872878,0.9999999999999994,1.790506e-11,-5.754345e-12,-0.005455126
HY202103,D08,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Fri Jul 12 12:05:01 2019,process LMZ,B2,magdzi83,0,2,0,No Error,1550.0,0.9959471416193552,-8.362414653549482,0.9999999999999943,4.835394e-10,7.961963e-11,-0.005282801
